origin,destination,A_horizontal_m,B_horizontal_m,shorter_by_m,status,A_within_400,B_within_400,A_within_800,B_within_800,A_within_1600,B_within_1600
N1,S1,205.24,205.24,0.0,both_connected,True,True,True,True,True,True
N1,S2,423.5,423.5,0.0,both_connected,False,False,True,True,True,True
N1,S3,488.86,488.86,0.0,both_connected,False,False,True,True,True,True
N1,S4,540.05,540.05,0.0,both_connected,False,False,True,True,True,True
N1,S5,752.09,752.09,0.0,both_connected,False,False,True,True,True,True
N1,S6,899.62,899.62,0.0,both_connected,False,False,False,False,True,True
N1,S7,831.29,831.29,0.0,both_connected,False,False,False,False,True,True
N1,S8,1024.25,1024.25,0.0,both_connected,False,False,False,False,True,True
N2,S1,753.05,753.05,0.0,both_connected,False,False,True,True,True,True
N2,S2,626.14,626.14,0.0,both_connected,False,False,True,True,True,True
N2,S3,454.14,454.14,0.0,both_connected,False,False,True,True,True,True
N2,S4,505.32,505.32,0.0,both_connected,False,False,True,True,True,True
N2,S5,717.36,717.36,0.0,both_connected,False,False,True,True,True,True
N2,S6,864.9,864.9,0.0,both_connected,False,False,False,False,True,True
N2,S7,796.56,796.56,0.0,both_connected,False,False,True,True,True,True
N2,S8,989.52,989.52,0.0,both_connected,False,False,False,False,True,True
N3,S1,542.41,542.41,0.0,both_connected,False,False,True,True,True,True
N3,S2,415.49,415.49,0.0,both_connected,False,False,True,True,True,True
N3,S3,243.5,243.5,0.0,both_connected,True,True,True,True,True,True
N3,S4,294.68,294.68,0.0,both_connected,True,True,True,True,True,True
N3,S5,506.72,506.72,0.0,both_connected,False,False,True,True,True,True
N3,S6,654.26,654.26,0.0,both_connected,False,False,True,True,True,True
N3,S7,585.92,585.92,0.0,both_connected,False,False,True,True,True,True
N3,S8,778.88,778.88,0.0,both_connected,False,False,True,True,True,True
N4,S1,1140.41,1140.41,0.0,both_connected,False,False,False,False,True,True
N4,S2,1013.49,1013.49,0.0,both_connected,False,False,False,False,True,True
N4,S3,813.36,813.36,0.0,both_connected,False,False,False,False,True,True
N4,S4,809.75,809.75,0.0,both_connected,False,False,False,False,True,True
N4,S5,977.94,977.94,0.0,both_connected,False,False,False,False,True,True
N4,S6,599.74,599.74,0.0,both_connected,False,False,True,True,True,True
N4,S7,531.4,531.4,0.0,both_connected,False,False,True,True,True,True
N4,S8,724.36,724.36,0.0,both_connected,False,False,True,True,True,True
N5,S1,1014.76,1014.76,0.0,both_connected,False,False,False,False,True,True
N5,S2,887.85,887.85,0.0,both_connected,False,False,False,False,True,True
N5,S3,687.72,687.72,0.0,both_connected,False,False,True,True,True,True
N5,S4,684.1,684.1,0.0,both_connected,False,False,True,True,True,True
N5,S5,852.3,852.3,0.0,both_connected,False,False,False,False,True,True
N5,S6,474.09,474.09,0.0,both_connected,False,False,True,True,True,True
N5,S7,405.76,405.76,0.0,both_connected,False,False,True,True,True,True
N5,S8,598.72,598.72,0.0,both_connected,False,False,True,True,True,True
N6,S1,1004.26,1004.26,0.0,both_connected,False,False,False,False,True,True
N6,S2,877.34,877.34,0.0,both_connected,False,False,False,False,True,True
N6,S3,677.21,677.21,0.0,both_connected,False,False,True,True,True,True
N6,S4,673.6,673.6,0.0,both_connected,False,False,True,True,True,True
N6,S5,841.79,841.79,0.0,both_connected,False,False,False,False,True,True
N6,S6,463.59,463.59,0.0,both_connected,False,False,True,True,True,True
N6,S7,395.25,395.25,0.0,both_connected,True,True,True,True,True,True
N6,S8,588.21,588.21,0.0,both_connected,False,False,True,True,True,True
N7,S1,943.28,943.28,0.0,both_connected,False,False,False,False,True,True
N7,S2,816.36,816.36,0.0,both_connected,False,False,False,False,True,True
N7,S3,616.23,616.23,0.0,both_connected,False,False,True,True,True,True
N7,S4,612.62,612.62,0.0,both_connected,False,False,True,True,True,True
N7,S5,780.81,743.4,37.41,both_connected,False,False,True,True,True,True
N7,S6,402.61,365.2,37.41,both_connected,False,True,True,True,True,True
N7,S7,334.28,296.86,37.41,both_connected,True,True,True,True,True,True
N7,S8,527.24,465.67,61.57,both_connected,False,False,True,True,True,True
N8,S1,1072.47,1005.05,67.42,both_connected,False,False,False,False,True,True
N8,S2,945.56,878.14,67.42,both_connected,False,False,False,False,True,True
N8,S3,745.43,678.01,67.42,both_connected,False,False,True,True,True,True
N8,S4,741.81,674.39,67.42,both_connected,False,False,True,True,True,True
N8,S5,910.01,761.58,148.43,both_connected,False,False,False,True,True,True
N8,S6,531.8,383.38,148.43,both_connected,False,True,True,True,True,True
N8,S7,463.47,315.04,148.43,both_connected,False,True,True,True,True,True
N8,S8,656.43,483.85,172.58,both_connected,False,False,True,True,True,True
