項次,出入口電梯/無障礙坡道名稱,出入口編號,經度,緯度,,
1,動物園站出口電梯1,出口1,121.5797157,24.9982136,,
2,動物園站出口電梯2,出口2,121.5795233,24.99809,,
3,木柵站出口無障礙坡道,單一出口,121.5732164,24.9980328,,
4,萬芳社區站出口無障礙坡道,單一出口,121.5685909,24.9984689,,
5,萬芳醫院站出口電梯,單一出口,121.5577226,24.999444,,
6,辛亥站出口無障礙坡道,單一出口,121.55687,25.0049724,,
7,麟光站出口無障礙坡道,單一出口,121.5585119,25.0185611,,
8,六張犁站出口電梯,單一出口,121.5530381,25.0239482,,
9,科技大樓站出口電梯1,出口1,121.5436129,25.0259248,,
10,科技大樓站出口電梯4,出口2,121.541667,25.025833,,
11,中山國中站出口電梯,單一出口,121.543878,25.060821,,
12,松山機場站出口電梯1,出口1,121.551838,25.063569,,
13,松山機場站出口電梯2,出口2,121.551306,25.063545,,
14,松山機場站出口電梯3,出口3,121.551416,25.063084,,
15,大直站出口電梯1,出口1,121.546907,25.080305,,
16,大直站出口電梯2,出口3,121.546978,25.079466,,
17,劍南路站出口電梯1,出口1,121.555259,25.085243,,
18,劍南路站出口電梯2,出口2,121.555317,25.084514,,
19,西湖站出口電梯1,出口1,121.56678,25.082392,,
20,西湖站出口電梯2,出口2,121.567149,25.081974,,
21,港墘站出口電梯1,出口1,121.575653,25.080102,,
22,港墘站出口電梯2,出口2,121.574987,25.079967,,
23,文德站出口電梯1,出口1,121.585716,25.078685,,
24,文德站出口電梯2,出口2,121.584662,25.078375,,
25,內湖站出口電梯1,出口1,121.59425,25.083769,,
26,內湖站出口電梯2,出口2,121.59456,25.083611,,
27,大湖公園站出口電梯1,出口1,121.602502,25.083925,,
28,大湖公園站出口電梯2,出口2,121.602575,25.083461,,
29,葫洲站出口電梯1,出口1,121.608053,25.072502,,
30,葫洲站出口電梯2,出口2,121.60721,25.072579,,
31,東湖站出口電梯1,出口1,121.611238,25.067189,,
32,東湖站出口電梯2,出口2,121.611238,25.067189,,
33,東湖站出口電梯3,出口3,121.611712,25.067105,,
34,南港軟體園區站出口電梯1,出口1,121.615825,25.060362,,
35,南港軟體園區站出口電梯2,出口2,121.616363,25.060064,,
