民國年月日,線別,車站,電梯位置,編號,保養週期,保養時段
1150902,Wenhu Line(文湖線),BR01(動物園站),P(月台),1,1M(月檢),D(日保)
1150902,Wenhu Line(文湖線),BR01(動物園站),P(月台),2,1M(月檢),D(日保)
1150901,Wenhu Line(文湖線),BR01(動物園站),EX1(出口1),3,1Y(年檢),D(日保)
1150909,Wenhu Line(文湖線),BR01(動物園站),EX2(出口2),4,1M(月檢),D(日保)
1150919,Wenhu Line(文湖線),BR02(木柵站),P(月台),1,1M(月檢),N(夜保)
1150919,Wenhu Line(文湖線),BR02(木柵站),P(月台),2,1M(月檢),N(夜保)
1150909,Wenhu Line(文湖線),BR02(木柵站),K(停車場),3,1M(月檢),D(日保)
1150918,Wenhu Line(文湖線),BR03(萬芳社區站),P(月台),1,1M(月檢),N(夜保)
1150918,Wenhu Line(文湖線),BR03(萬芳社區站),P(月台),2,1M(月檢),N(夜保)
1150901,Wenhu Line(文湖線),BR04(萬芳醫院站),P(月台),1,1M(月檢),N(夜保)
1150901,Wenhu Line(文湖線),BR04(萬芳醫院站),P(月台),2,1M(月檢),N(夜保)
1150901,Wenhu Line(文湖線),BR04(萬芳醫院站),EX(出口),3,1M(月檢),N(夜保)
1150916,Wenhu Line(文湖線),BR05(辛亥站),P(月台),1,1M(月檢),N(夜保)
1150917,Wenhu Line(文湖線),BR05(辛亥站),P(月台),2,1Y(年檢),N(夜保)
1150915,Wenhu Line(文湖線),BR06(麟光站),P(月台),1,1M(月檢),N(夜保)
1150912,Wenhu Line(文湖線),BR06(麟光站),P(月台),2,1Y(年檢),N(夜保)
1150915,Wenhu Line(文湖線),BR06(麟光站),EX(出口),3,1M(月檢),N(夜保)
1150911,Wenhu Line(文湖線),BR07(六張犁站),P(月台),1,1M(月檢),N(夜保)
1150910,Wenhu Line(文湖線),BR07(六張犁站),P(月台),2,1Y(年檢),N(夜保)
1150911,Wenhu Line(文湖線),BR07(六張犁站),EX(出口),3,1M(月檢),N(夜保)
1150909,Wenhu Line(文湖線),BR08(科技大樓站),EX(出口),1,1M(月檢),N(夜保)
1150909,Wenhu Line(文湖線),BR08(科技大樓站),P(月台),2,1M(月檢),N(夜保)
1150909,Wenhu Line(文湖線),BR08(科技大樓站),P(月台),3,1M(月檢),N(夜保)
1150908,Wenhu Line(文湖線),BR09(大安站),EX4(出口4),1,1M(月檢),N(夜保)
1150908,Wenhu Line(文湖線),BR09(大安站),P(月台),2,1M(月檢),N(夜保)
1150908,Wenhu Line(文湖線),BR09(大安站),P(月台),3,1M(月檢),N(夜保)
1150901,Wenhu Line(文湖線),BR10(忠孝復興站),EX2(出口2),1,1M(月檢),N(夜保)
1150901,Wenhu Line(文湖線),BR10(忠孝復興站),P(月台),2,1M(月檢),N(夜保)
1150901,Wenhu Line(文湖線),BR10(忠孝復興站),P(月台),3,1M(月檢),N(夜保)
1150903,Wenhu Line(文湖線),BR11(南京復興站),T(轉乘通道),1,1M(月檢),N(夜保)
1150905,Wenhu Line(文湖線),BR11(南京復興站),P(月台),2,1M(月檢),N(夜保)
1150905,Wenhu Line(文湖線),BR11(南京復興站),P(月台),3,1M(月檢),N(夜保)
1150903,Wenhu Line(文湖線),BR11(南京復興站),EX7(出口7),4,1M(月檢),N(夜保)
1150904,Wenhu Line(文湖線),BR12(中山國中站),P(月台),1,1M(月檢),N(夜保)
1150904,Wenhu Line(文湖線),BR12(中山國中站),P(月台),2,1M(月檢),N(夜保)
